"COUNTY","FIPS","LOCATION","E_TOTPOP","E_POV150","E_MINRTY"
"Albany","56001962700","Census Tract 9627, Albany County, Wyoming",3411,371,285
"Albany","56001962800","Census Tract 9628, Albany County, Wyoming",2992,429,719
"Albany","56001962900","Census Tract 9629, Albany County, Wyoming",1916,416,840
"Albany","56001963000","Census Tract 9630, Albany County, Wyoming",2531,1248,369
"Albany","56001963101","Census Tract 9631.01, Albany County, Wyoming",4053,313,449
"Albany","56001963102","Census Tract 9631.02, Albany County, Wyoming",4448,1711,753
"Albany","56001963400","Census Tract 9634, Albany County, Wyoming",3251,1559,655
"Albany","56001963500","Census Tract 9635, Albany County, Wyoming",2326,333,586
"Albany","56001963600","Census Tract 9636, Albany County, Wyoming",4370,1113,456
"Albany","56001963700","Census Tract 9637, Albany County, Wyoming",6862,2476,1471
"Albany","56001963900","Census Tract 9639, Albany County, Wyoming",2504,375,372
"Big Horn","56003962600","Census Tract 9626, Big Horn County, Wyoming",2716,450,200
"Big Horn","56003962700","Census Tract 9627, Big Horn County, Wyoming",4036,1104,826
"Big Horn","56003962800","Census Tract 9628, Big Horn County, Wyoming",5057,827,450
"Campbell","56005000101","Census Tract 1.01, Campbell County, Wyoming",2180,626,37
"Campbell","56005000102","Census Tract 1.02, Campbell County, Wyoming",5975,447,450
"Campbell","56005000103","Census Tract 1.03, Campbell County, Wyoming",2348,719,547
"Campbell","56005000200","Census Tract 2, Campbell County, Wyoming",7743,1228,1558
"Campbell","56005000300","Census Tract 3, Campbell County, Wyoming",5218,1664,816
"Campbell","56005000400","Census Tract 4, Campbell County, Wyoming",3433,397,454
"Campbell","56005000500","Census Tract 5, Campbell County, Wyoming",6164,511,343
"Campbell","56005000600","Census Tract 6, Campbell County, Wyoming",5563,1622,1410
"Campbell","56005000701","Census Tract 7.01, Campbell County, Wyoming",1838,73,0
"Campbell","56005000702","Census Tract 7.02, Campbell County, Wyoming",6496,973,357
"Carbon","56007967600","Census Tract 9676, Carbon County, Wyoming",2250,484,608
"Carbon","56007967700","Census Tract 9677, Carbon County, Wyoming",3852,597,1229
"Carbon","56007967800","Census Tract 9678, Carbon County, Wyoming",4287,1042,1289
"Carbon","56007968000","Census Tract 9680, Carbon County, Wyoming",3056,591,191
"Carbon","56007968100","Census Tract 9681, Carbon County, Wyoming",1628,405,146
"Converse","56009956400","Census Tract 9564, Converse County, Wyoming",4518,454,1061
"Converse","56009956500","Census Tract 9565, Converse County, Wyoming",3214,592,219
"Converse","56009956600","Census Tract 9566, Converse County, Wyoming",3289,413,142
"Converse","56009956700","Census Tract 9567, Converse County, Wyoming",2821,676,162
"Crook","56011950200","Census Tract 9502, Crook County, Wyoming",4698,602,232
"Crook","56011950300","Census Tract 9503, Crook County, Wyoming",2804,456,216
"Fremont","56013000100","Census Tract 1, Fremont County, Wyoming",3816,652,545
"Fremont","56013000200","Census Tract 2, Fremont County, Wyoming",3782,607,521
"Fremont","56013000301","Census Tract 3.01, Fremont County, Wyoming",2492,239,154
"Fremont","56013000302","Census Tract 3.02, Fremont County, Wyoming",1424,296,85
"Fremont","56013000400","Census Tract 4, Fremont County, Wyoming",1455,331,43
"Fremont","56013940100","Census Tract 9401, Fremont County, Wyoming",3965,1401,3352
"Fremont","56013940201","Census Tract 9402.01, Fremont County, Wyoming",4225,795,870
"Fremont","56013940202","Census Tract 9402.02, Fremont County, Wyoming",5070,2030,3451
"Fremont","56013940301","Census Tract 9403.01, Fremont County, Wyoming",1889,590,424
"Fremont","56013940302","Census Tract 9403.02, Fremont County, Wyoming",3107,667,706
"Fremont","56013940400","Census Tract 9404, Fremont County, Wyoming",5586,786,1056
"Fremont","56013940500","Census Tract 9405, Fremont County, Wyoming",2900,679,955
"Goshen","56015957700","Census Tract 9577, Goshen County, Wyoming",1916,216,183
"Goshen","56015957800","Census Tract 9578, Goshen County, Wyoming",3902,624,725
"Goshen","56015957900","Census Tract 9579, Goshen County, Wyoming",4879,1067,944
"Goshen","56015958000","Census Tract 9580, Goshen County, Wyoming",2604,381,160
"Hot Springs","56017967800","Census Tract 9678, Hot Springs County, Wyoming",2743,547,220
"Hot Springs","56017967900","Census Tract 9679, Hot Springs County, Wyoming",1807,572,145
"Johnson","56019955100","Census Tract 9551, Johnson County, Wyoming",2594,520,112
"Johnson","56019955201","Census Tract 9552.01, Johnson County, Wyoming",2330,570,506
"Johnson","56019955202","Census Tract 9552.02, Johnson County, Wyoming",3594,992,127
"Laramie","56021000200","Census Tract 2, Laramie County, Wyoming",4718,1552,2135
"Laramie","56021000300","Census Tract 3, Laramie County, Wyoming",4238,762,1566
"Laramie","56021000401","Census Tract 4.01, Laramie County, Wyoming",4936,1218,1078
"Laramie","56021000403","Census Tract 4.03, Laramie County, Wyoming",4177,1207,1473
"Laramie","56021000404","Census Tract 4.04, Laramie County, Wyoming",2097,476,591
"Laramie","56021000502","Census Tract 5.02, Laramie County, Wyoming",3301,407,710
"Laramie","56021000503","Census Tract 5.03, Laramie County, Wyoming",5411,710,1225
"Laramie","56021000601","Census Tract 6.01, Laramie County, Wyoming",3051,458,372
"Laramie","56021000602","Census Tract 6.02, Laramie County, Wyoming",2947,494,419
"Laramie","56021000701","Census Tract 7.01, Laramie County, Wyoming",2693,427,327
"Laramie","56021000702","Census Tract 7.02, Laramie County, Wyoming",1247,327,406
"Laramie","56021000800","Census Tract 8, Laramie County, Wyoming",1665,179,317
"Laramie","56021000900","Census Tract 9, Laramie County, Wyoming",2511,278,252
"Laramie","56021001000","Census Tract 10, Laramie County, Wyoming",3160,590,751
"Laramie","56021001100","Census Tract 11, Laramie County, Wyoming",2997,420,1101
"Laramie","56021001200","Census Tract 12, Laramie County, Wyoming",4971,526,610
"Laramie","56021001301","Census Tract 13.01, Laramie County, Wyoming",2564,461,443
"Laramie","56021001302","Census Tract 13.02, Laramie County, Wyoming",5645,351,784
"Laramie","56021001401","Census Tract 14.01, Laramie County, Wyoming",3691,374,811
"Laramie","56021001402","Census Tract 14.02, Laramie County, Wyoming",2821,350,411
"Laramie","56021001501","Census Tract 15.01, Laramie County, Wyoming",5530,563,1646
"Laramie","56021001502","Census Tract 15.02, Laramie County, Wyoming",4648,746,941
"Laramie","56021001901","Census Tract 19.01, Laramie County, Wyoming",5497,413,911
"Laramie","56021001902","Census Tract 19.02, Laramie County, Wyoming",4441,200,371
"Laramie","56021002001","Census Tract 20.01, Laramie County, Wyoming",4314,573,520
"Laramie","56021002002","Census Tract 20.02, Laramie County, Wyoming",6001,700,1560
"Laramie","56021980801","Census Tract 9808.01, Laramie County, Wyoming",0,0,0
"Lincoln","56023978001","Census Tract 9780.01, Lincoln County, Wyoming",2719,305,253
"Lincoln","56023978002","Census Tract 9780.02, Lincoln County, Wyoming",4361,281,282
"Lincoln","56023978100","Census Tract 9781, Lincoln County, Wyoming",7140,1581,600
"Lincoln","56023978200","Census Tract 9782, Lincoln County, Wyoming",1829,153,118
"Lincoln","56023978400","Census Tract 9784, Lincoln County, Wyoming",3591,479,340
"Natrona","56025000200","Census Tract 2, Natrona County, Wyoming",3157,1222,606
"Natrona","56025000300","Census Tract 3, Natrona County, Wyoming",4093,1309,692
"Natrona","56025000400","Census Tract 4, Natrona County, Wyoming",4304,972,542
"Natrona","56025000501","Census Tract 5.01, Natrona County, Wyoming",5666,1120,663
"Natrona","56025000502","Census Tract 5.02, Natrona County, Wyoming",2787,808,415
"Natrona","56025000601","Census Tract 6.01, Natrona County, Wyoming",2833,146,353
"Natrona","56025000602","Census Tract 6.02, Natrona County, Wyoming",4994,705,256
"Natrona","56025000700","Census Tract 7, Natrona County, Wyoming",2113,255,324
"Natrona","56025000800","Census Tract 8, Natrona County, Wyoming",3603,613,365
"Natrona","56025000901","Census Tract 9.01, Natrona County, Wyoming",5516,1209,842
"Natrona","56025000902","Census Tract 9.02, Natrona County, Wyoming",3966,461,435
"Natrona","56025001000","Census Tract 10, Natrona County, Wyoming",5109,652,736
"Natrona","56025001100","Census Tract 11, Natrona County, Wyoming",2699,623,327
"Natrona","56025001200","Census Tract 12, Natrona County, Wyoming",2504,669,517
"Natrona","56025001401","Census Tract 14.01, Natrona County, Wyoming",5685,587,603
"Natrona","56025001602","Census Tract 16.02, Natrona County, Wyoming",7245,856,1387
"Natrona","56025001603","Census Tract 16.03, Natrona County, Wyoming",4005,229,579
