ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
56,Wyoming,WY,56001,Albany,56001962700,"Census Tract 9627, Albany County, Wyoming",243.036053724296,3411,334,1702,195,1510,196,371,169,43,36,289,120,84,61,206,114,559,177,695,187,437,138,22,25,14,51,285,146,33,56,429,131,0,16,47,38,0,12,10.9,4.8,2.2,1.9,19.1,7.6,3.3,2.3,6.1,3.3,16.4,5.1,20.4,5.1,12.8,4.1,1.5,1.6,0.4,1.6,8.4,4.2,1.9,3.3,25.2,7.1,0.0,1.1,3.1,2.5,0.0,0.4,0.1835,0.2152,0.4114,0.1962,0.1709,1.1772,0.0759,0.4684,0.3608,0.4557,0.1582,0.5886,2.0317,0.2975,0.2342,0.2342,0.2342,0.462,0.8354,0.0,0.5443,0.0,1.8417,0.2658,5.2848,0.1013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1702,372,510,0,12,217,123,0,12,0,12,0,12,68,75,0,12,10.9,1.1,0.0,1.0,6.4,3.5,0.0,1.0,0.0,1.0,0.0,1.0,2.0,2.2,0.0,1.0
56,Wyoming,WY,56001,Albany,56001962800,"Census Tract 9628, Albany County, Wyoming",3.157736365306,2992,451,1504,152,1269,174,429,156,66,31,262,91,285,146,378,154,224,91,586,216,442,137,46,43,0,48,719,279,162,77,300,115,7,15,79,64,187,82,15.3,5.0,4.0,2.0,20.6,6.6,14.6,7.2,12.6,5.2,7.5,3.2,19.6,6.6,14.8,4.2,3.6,3.4,0.0,1.6,24.0,8.6,10.8,5.0,19.9,7.7,0.6,1.2,6.2,4.8,6.3,2.6,0.4494,0.519,0.5316,0.9367,0.6392,3.0759,0.7025,0.0633,0.3038,0.6329,0.4241,0.0,1.4241,0.0696,0.8608,0.8608,0.8608,0.8354,0.7468,0.2722,0.8354,0.8797,3.5695,0.943,8.9303,0.7405,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2339,86,625,2,4,652,275,0,12,18,23,2,4,38,43,7,14,3.1,0.5,0.1,0.1,21.8,7.8,0.0,1.2,0.6,0.8,0.1,0.1,1.3,1.4,0.2,0.5
56,Wyoming,WY,56001,Albany,56001962900,"Census Tract 9629, Albany County, Wyoming",2.776675313018,1916,309,1135,200,1040,201,416,163,50,43,207,82,84,54,324,117,335,132,291,92,298,131,51,57,10,46,840,229,5,14,643,157,0,16,21,21,8,15,21.8,7.8,4.4,3.4,19.9,6.9,5.9,4.0,16.9,6.5,17.5,6.4,15.2,4.1,15.6,6.1,4.9,5.4,0.5,2.5,43.8,9.6,0.4,1.2,56.7,7.7,0.0,1.5,2.0,2.1,0.4,0.8,0.6899,0.5823,0.4684,0.4747,0.8228,3.0381,0.6772,0.538,0.1076,0.7215,0.6013,0.6456,2.614,0.6392,0.981,0.981,0.981,0.3291,0.9684,0.0,0.3544,0.4873,2.1392,0.3481,8.7723,0.7152,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,2,890,235,434,0,12,745,212,7,12,0,12,0,12,88,84,0,12,12.3,2.0,0.0,1.8,38.9,8.1,0.4,0.6,0.0,1.8,0.0,1.8,4.6,4.3,0.0,1.8
56,Wyoming,WY,56001,Albany,56001963000,"Census Tract 9630, Albany County, Wyoming",3.457555765264,2531,388,1324,137,1060,144,1248,313,142,78,524,141,49,55,292,131,160,67,395,167,349,122,30,42,0,48,369,164,114,67,56,43,0,16,85,58,131,47,52.0,10.0,9.4,5.3,49.4,11.5,3.5,4.0,11.8,5.2,6.3,2.9,15.6,6.1,14.1,4.6,2.8,3.9,0.0,2.1,14.6,6.1,8.6,5.0,4.2,3.3,0.0,1.5,8.0,5.5,5.2,1.7,0.9937,0.9114,0.981,0.2152,0.5823,3.6836,0.9051,0.038,0.1266,0.5949,0.2848,0.0,1.0443,0.0127,0.5443,0.5443,0.5443,0.7785,0.3038,0.0,0.8861,0.8418,2.8102,0.7025,8.0824,0.5886,1,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2220,92,548,2,4,239,118,26,27,8,19,0,12,94,109,0,12,3.8,0.7,0.1,0.2,9.4,4.6,1.0,1.1,0.3,0.8,0.0,1.4,3.7,4.2,0.0,1.4
56,Wyoming,WY,56001,Albany,56001963101,"Census Tract 9631.01, Albany County, Wyoming",1.95346183339,4053,437,1308,106,1261,119,313,212,11,18,137,80,16,24,95,90,468,103,1209,222,183,90,27,37,0,48,449,239,0,16,36,36,0,16,0,12,6,14,7.7,5.2,0.5,0.9,10.9,6.3,0.7,1.0,2.3,2.2,11.5,2.9,29.8,4.4,4.5,2.3,2.1,2.9,0.0,1.3,11.1,5.8,0.0,1.2,2.8,2.7,0.0,1.3,0.0,2.7,0.1,0.3,0.0823,0.0443,0.0823,0.0,0.0,0.2089,0.0,0.2089,0.8987,0.0316,0.2025,0.0,1.3417,0.0506,0.3734,0.3734,0.3734,0.0,0.2595,0.0,0.0,0.2722,0.5317,0.019,2.4557,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1245,343,664,0,12,219,200,95,68,0,12,0,12,95,94,40,60,8.5,0.9,0.0,0.9,5.4,5.0,2.3,1.7,0.0,0.9,0.0,0.9,2.3,2.3,1.0,1.5
56,Wyoming,WY,56001,Albany,56001963102,"Census Tract 9631.02, Albany County, Wyoming",0.674707839572,4448,669,2195,289,1964,298,1711,395,68,56,906,324,119,125,422,249,701,330,454,244,526,204,11,22,34,68,753,315,431,130,0,12,43,68,45,32,20,18,40.2,7.7,2.4,2.0,46.1,14.9,5.6,5.6,9.6,5.0,15.8,6.8,10.2,5.3,11.9,4.1,0.6,1.1,0.8,1.6,16.9,6.6,19.6,5.3,0.0,1.6,2.2,3.4,2.3,1.6,0.4,0.4,0.9684,0.2658,0.962,0.4557,0.4304,3.0823,0.7089,0.4494,0.0443,0.3418,0.0823,0.6899,1.6077,0.1076,0.6203,0.6203,0.6203,0.943,0.0,0.6519,0.4114,0.4873,2.4936,0.5127,7.8039,0.5253,1,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,2353,304,982,4,8,424,254,196,154,11,19,0,12,118,104,0,12,6.9,1.1,0.1,0.2,9.5,5.8,4.4,3.7,0.2,0.4,0.0,0.8,2.7,2.4,0.0,0.8
56,Wyoming,WY,56001,Albany,56001963400,"Census Tract 9634, Albany County, Wyoming",0.51186507395,3251,479,2127,265,1837,271,1559,417,25,26,1006,305,91,73,375,179,190,90,286,157,293,135,57,57,0,48,655,233,350,147,5,11,0,16,230,132,66,62,48.9,10.8,1.1,1.1,54.8,14.5,5.1,4.2,11.7,5.2,5.8,2.9,8.8,4.7,9.2,3.8,3.1,3.1,0.0,1.5,20.1,6.5,16.5,6.6,0.2,0.5,0.0,0.9,12.5,6.7,2.0,1.9,0.9873,0.0823,0.9873,0.443,0.5633,3.0632,0.6962,0.0253,0.0253,0.1329,0.3544,0.0,0.5379,0.0,0.6962,0.6962,0.6962,0.9051,0.1076,0.0,0.9684,0.7215,2.7026,0.6519,6.9999,0.3418,1,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,2,4,3280,172,673,7,20,182,112,255,140,125,75,23,54,63,59,0,12,5.4,0.8,0.2,0.6,5.6,3.3,7.8,4.3,3.8,2.3,0.7,1.6,1.9,1.8,0.0,1.1
56,Wyoming,WY,56001,Albany,56001963500,"Census Tract 9635, Albany County, Wyoming",0.844741754944,2326,198,345,70,266,64,333,110,189,50,152,59,20,23,93,42,10,17,41,30,111,50,14,22,61,57,586,151,13,15,3,5,0,16,74,45,1826,147,66.6,13.7,19.3,4.6,57.1,17.4,7.1,7.1,4.0,1.7,0.4,0.7,1.8,1.3,4.8,2.2,5.3,8.2,2.6,2.5,25.2,6.1,3.8,4.3,0.9,1.4,0.0,6.0,27.8,15.1,78.5,9.2,1.0,1.0,1.0,0.6013,0.0696,3.6709,0.8987,0.0063,0.0,0.038,0.6519,0.943,1.6392,0.1139,0.8734,0.8734,0.8734,0.6013,0.1709,0.0,0.9937,1.0,2.7659,0.6709,8.9494,0.7468,1,1,1,0,0,3,0,0,0,0,1,1,0,0,0,0,0,1,1,2,6,13402,266,162,17,13,256,89,219,116,6,8,0,12,88,31,0,12,53.2,13.7,0.7,0.6,11.0,3.4,9.4,4.7,0.3,0.3,0.0,1.5,3.8,1.2,0.0,1.5
56,Wyoming,WY,56001,Albany,56001963600,"Census Tract 9636, Albany County, Wyoming",0.774614820888,4370,517,2076,175,1793,220,1113,322,97,62,485,157,19,25,406,177,396,91,576,144,316,128,13,25,51,84,456,179,168,121,0,12,18,31,89,61,95,61,26.1,6.9,3.1,2.1,27.0,8.1,0.7,0.9,9.4,3.8,9.1,2.1,13.2,2.9,7.3,3.2,0.7,1.4,1.2,2.0,10.4,3.9,8.1,5.8,0.0,1.7,1.0,1.7,5.0,3.5,2.2,1.4,0.8228,0.3987,0.7785,0.0,0.4241,2.4241,0.4684,0.0949,0.0633,0.0886,0.0886,0.8038,1.1392,0.019,0.3481,0.3481,0.3481,0.7658,0.0,0.4114,0.7468,0.7342,2.6582,0.6266,6.5696,0.3038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3380,283,736,2,5,62,58,111,100,2,6,0,12,279,136,0,12,6.6,0.8,0.0,0.1,1.4,1.3,2.5,2.3,0.0,0.1,0.0,0.8,6.4,3.1,0.0,0.8
56,Wyoming,WY,56001,Albany,56001963700,"Census Tract 9637, Albany County, Wyoming",12.55597140266,6862,643,3477,359,3165,379,2476,457,176,107,1459,315,78,97,615,277,781,200,1161,199,363,101,112,96,63,117,1471,398,661,246,41,47,91,74,190,128,6,6,36.1,5.7,4.6,2.7,46.1,8.3,2.4,2.9,9.0,4.0,11.4,2.9,16.9,2.4,5.3,1.5,3.5,3.0,1.0,1.8,21.4,5.4,19.0,6.8,1.2,1.4,2.9,2.3,6.0,4.1,0.1,0.1,0.943,0.6139,0.962,0.1076,0.4114,3.0379,0.6709,0.1899,0.1772,0.0443,0.4177,0.7532,1.5823,0.1013,0.7532,0.7532,0.7532,0.9367,0.2025,0.7595,0.8228,0.2722,2.9937,0.7785,8.3671,0.6519,1,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,6334,728,921,349,225,650,204,295,204,106,90,0,17,71,113,0,17,10.6,1.0,5.1,3.2,9.5,3.0,4.3,2.9,1.5,1.3,0.0,0.5,1.0,1.7,0.0,0.5
56,Wyoming,WY,56001,Albany,56001963900,"Census Tract 9639, Albany County, Wyoming",4004.581622092794,2504,318,2221,197,972,124,375,167,55,63,181,76,51,34,80,68,771,145,481,250,312,95,0,16,0,48,372,232,0,16,334,100,9,15,14,15,0,12,16.1,6.9,5.1,5.6,18.6,7.5,2.7,1.8,3.2,2.7,30.8,6.8,19.2,9.7,12.5,3.8,0.0,1.6,0.0,2.0,14.9,9.1,0.0,0.7,15.0,4.1,0.9,1.5,1.4,1.5,0.0,0.5,0.5127,0.6519,0.3987,0.1392,0.019,1.7215,0.2595,0.962,0.2848,0.4051,0.0,0.0,1.6519,0.1266,0.557,0.557,0.557,0.0,0.6392,0.3671,0.2722,0.0,1.2785,0.1203,5.2089,0.0823,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,595,302,443,0,12,94,70,28,29,7,11,8,20,235,218,0,12,12.1,1.5,0.0,1.4,3.8,2.7,1.1,1.2,0.3,0.5,0.3,0.8,9.4,8.1,0.0,1.4
56,Wyoming,WY,56003,Big Horn,56003962600,"Census Tract 9626, Big Horn County, Wyoming",1521.60062088177,2716,299,1450,130,1136,141,450,139,36,36,169,65,279,97,481,158,704,119,377,120,478,120,6,15,36,57,200,83,15,21,218,77,7,15,55,30,172,97,17.7,5.1,3.0,3.0,14.9,5.4,13.1,4.2,19.1,5.8,25.9,4.4,13.9,4.1,19.0,4.2,0.5,1.3,1.4,2.1,7.4,2.9,1.0,1.4,15.0,5.4,0.6,1.3,4.8,2.5,6.3,3.5,0.5633,0.3924,0.2468,0.9177,0.9051,3.0253,0.6582,0.9051,0.0696,0.8734,0.0633,0.8418,2.7532,0.7278,0.1646,0.1646,0.1646,0.3861,0.6392,0.2722,0.7089,0.8797,2.8861,0.7342,8.8292,0.7215,0,0,0,1,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2084,482,401,0,12,105,63,5,7,41,38,14,20,35,24,0,12,18.9,2.1,0.0,1.3,3.9,2.3,0.2,0.3,1.5,1.4,0.5,0.7,1.3,0.9,0.0,1.3
56,Wyoming,WY,56003,Big Horn,56003962700,"Census Tract 9627, Big Horn County, Wyoming",894.362600196104,4036,334,1690,123,1418,151,1104,293,211,94,281,78,252,95,591,180,729,108,1217,159,649,175,62,33,83,95,826,179,3,12,249,93,65,42,13,12,12,26,27.4,6.9,11.5,4.7,19.8,5.1,9.9,3.6,14.7,4.3,18.1,2.8,30.2,3.0,16.1,4.1,4.4,2.3,2.3,2.6,20.5,4.1,0.2,0.7,14.7,5.3,4.6,2.9,0.9,0.8,0.3,0.6,0.8354,0.962,0.4557,0.8038,0.7405,3.7974,0.9241,0.5949,0.9241,0.7532,0.5253,0.9241,3.7216,0.9873,0.7215,0.7215,0.7215,0.2975,0.6203,0.9304,0.1835,0.4494,2.4811,0.5,10.7216,0.9241,0,1,0,0,0,1,0,1,0,0,1,2,0,0,0,0,1,0,0,1,4,2880,633,523,5,8,672,154,10,15,6,12,0,12,133,89,0,12,15.7,1.3,0.1,0.2,16.7,3.8,0.2,0.4,0.1,0.3,0.0,0.9,3.3,2.1,0.0,0.9
56,Wyoming,WY,56003,Big Horn,56003962800,"Census Tract 9628, Big Horn County, Wyoming",720.992652346728,5057,335,2328,124,1854,156,827,255,139,78,252,76,286,103,500,142,1063,110,1415,147,653,138,86,44,13,68,450,148,33,46,359,102,20,24,72,57,72,66,16.7,5.0,6.2,3.2,13.6,3.9,8.7,2.8,10.0,2.9,21.0,2.1,28.0,2.2,13.1,2.5,4.6,2.3,0.3,1.4,8.9,2.9,1.4,2.0,15.4,4.2,1.1,1.3,3.9,3.0,1.4,1.3,0.5316,0.7595,0.1835,0.7152,0.4557,2.6455,0.5696,0.7278,0.8101,0.4747,0.5696,0.538,3.1202,0.8544,0.2658,0.2658,0.2658,0.4304,0.6772,0.4367,0.6266,0.6392,2.8101,0.6962,8.8416,0.7278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5860,613,511,36,39,305,137,55,21,11,14,0,17,28,22,15,22,12.3,0.8,0.7,0.8,6.0,2.6,1.1,0.4,0.2,0.3,0.0,0.7,0.6,0.4,0.3,0.4
56,Wyoming,WY,56005,Campbell,56005000101,"Census Tract 1.01, Campbell County, Wyoming",1201.344227775488,2180,378,1048,192,908,194,626,417,24,37,186,168,263,197,192,182,252,238,447,175,310,277,0,16,0,48,37,67,0,16,370,179,13,24,0,12,0,12,29.2,18.8,2.2,3.4,20.5,18.0,15.7,10.4,8.8,8.3,11.6,10.5,20.5,7.2,14.2,12.0,0.0,1.8,0.0,2.2,1.7,3.1,0.0,1.5,35.3,16.1,1.4,2.6,0.0,3.8,0.0,0.6,0.8608,0.2152,0.519,0.981,0.3671,2.9431,0.6456,0.2215,0.3797,0.6013,0.0,0.0,1.2025,0.0253,0.0127,0.0127,0.0127,0.0,0.9241,0.5253,0.0,0.0,1.4494,0.1392,5.6077,0.1456,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,4160,39,538,0,12,0,12,0,12,0,12,0,12,37,62,0,12,1.8,0.4,0.0,1.6,0.0,1.6,0.0,1.6,0.0,1.6,0.0,1.6,1.7,2.9,0.0,1.6
56,Wyoming,WY,56005,Campbell,56005000102,"Census Tract 1.02, Campbell County, Wyoming",380.412695137724,5975,620,2267,271,2169,274,447,356,140,120,319,179,80,72,318,252,259,134,1742,305,234,166,82,63,0,68,450,306,406,175,228,121,86,100,24,36,0,17,7.5,5.9,3.9,3.4,14.7,8.0,2.1,1.8,5.3,4.3,4.3,2.2,29.2,4.1,3.9,2.9,3.8,2.9,0.0,1.2,7.5,5.1,17.9,7.4,10.1,5.4,4.0,4.6,1.1,1.7,0.0,0.3,0.057,0.5063,0.2405,0.0759,0.1139,0.9936,0.0253,0.019,0.8671,0.0253,0.443,0.0,1.3544,0.057,0.1772,0.1772,0.1772,0.9177,0.5,0.8671,0.2278,0.0,2.5126,0.5316,5.0378,0.0696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,4245,555,1007,33,60,243,218,0,17,0,17,0,17,174,205,0,17,9.3,1.0,0.6,1.0,4.1,3.6,0.0,0.6,0.0,0.6,0.0,0.6,2.9,3.3,0.0,0.6
56,Wyoming,WY,56005,Campbell,56005000103,"Census Tract 1.03, Campbell County, Wyoming",903.457721611236,2348,552,1282,256,875,190,719,304,5,6,206,81,268,253,555,322,164,119,500,251,154,117,0,16,0,48,547,350,75,52,457,138,37,56,0,12,5,10,30.6,10.8,0.4,0.5,23.5,7.7,15.6,12.7,23.6,11.5,7.0,5.3,21.3,9.4,6.6,5.0,0.0,1.8,0.0,2.2,23.3,13.9,5.9,3.9,35.6,8.9,4.2,6.3,0.0,3.9,0.2,0.4,0.8924,0.0316,0.6709,0.9747,0.9494,3.519,0.8354,0.0506,0.4304,0.0633,0.0,0.0,0.5443,0.0063,0.8165,0.8165,0.8165,0.7215,0.9304,0.8797,0.0,0.3861,2.9177,0.7532,7.7975,0.5127,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,2618,60,778,38,61,375,325,44,67,0,12,0,12,90,95,0,12,2.6,0.7,1.6,2.6,16.0,12.3,1.9,2.8,0.0,1.5,0.0,1.5,3.8,3.6,0.0,1.5
56,Wyoming,WY,56005,Campbell,56005000200,"Census Tract 2, Campbell County, Wyoming",34.548672212074,7743,928,2933,320,2640,340,1228,529,53,47,616,244,195,96,723,525,602,157,2434,443,571,196,140,116,0,68,1558,464,0,24,709,261,88,89,18,31,239,103,16.4,6.8,1.4,1.3,23.3,8.7,4.2,1.9,9.7,6.6,7.8,2.2,31.4,4.3,7.6,2.6,5.3,4.3,0.0,1.0,20.1,5.5,0.0,0.8,24.2,7.4,3.3,3.3,0.7,1.2,3.1,1.3,0.5253,0.1076,0.6582,0.2975,0.443,2.0316,0.3797,0.0696,0.962,0.0949,0.6519,0.0,1.7784,0.2152,0.6962,0.6962,0.6962,0.0,0.8165,0.8228,0.1709,0.7975,2.6077,0.5949,7.1139,0.3544,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6288,522,1228,94,100,1169,402,0,17,9,13,0,17,276,208,10,20,7.0,0.9,1.2,1.3,15.1,4.7,0.0,0.5,0.1,0.2,0.0,0.5,3.6,2.6,0.1,0.3
