ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
56,Wyoming,WY,56001,Albany,56001,"Albany County, Wyoming",4274.325005986082,38664,0,19414,96,16137,402,10344,765,922,188,5608,546,896,227,3286,505,4595,131,6175,170,3630,379,383,146,233,156,6955,524,1937,343,1847,267,168,107,874,227,2345,211,28.8,2.1,4.1,0.8,34.8,3.3,4.1,1.1,8.5,1.3,11.9,0.3,16.0,0.4,9.4,1.0,2.4,0.9,0.6,0.4,18.0,1.4,10.0,1.8,9.5,1.4,1.0,0.7,5.4,1.4,6.1,0.5,0.9545,0.4545,1.0,0.0,0.0909,2.4999,0.5455,0.0455,0.0,0.0455,0.1818,0.5455,0.8183,0.0,0.7273,0.7273,0.7273,1.0,0.2273,0.1364,0.9545,0.9091,3.2273,0.8182,7.2728,0.4091,1,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,1,3,5,37740,3183,621,383,221,3740,0,1232,177,283,113,33,54,1237,329,47,47,8.8,0.1,1.0,0.6,9.7,0.0,3.2,0.5,0.7,0.3,0.1,0.1,3.2,0.9,0.1,0.1
56,Wyoming,WY,56003,Big Horn,56003,"Big Horn County, Wyoming",3136.955873424602,11809,0,5468,54,4408,178,2381,401,386,115,702,129,817,161,1572,267,2496,51,3009,39,1780,214,154,57,132,110,1476,112,51,49,826,133,92,48,140,72,256,104,20.6,3.5,7.3,2.1,15.9,2.9,10.2,2.0,13.6,2.3,21.1,0.4,25.5,0.3,15.4,1.9,3.5,1.3,1.2,1.0,12.5,0.9,0.9,0.9,15.1,2.4,2.1,1.1,3.2,1.6,2.2,0.9,0.7273,0.9545,0.0909,1.0,0.9091,3.6818,0.9091,0.6818,0.8182,0.8182,0.4091,0.7727,3.5,1.0,0.4091,0.4091,0.4091,0.0909,0.5909,0.6364,0.4091,0.5909,2.3182,0.3636,9.9091,0.9091,0,1,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10824,1728,414,41,41,1082,0,70,15,58,46,14,20,196,81,15,15,15.0,0.1,0.3,0.4,9.2,0.0,0.6,0.1,0.5,0.4,0.1,0.2,1.7,0.7,0.1,0.2
56,Wyoming,WY,56005,Campbell,56005,"Campbell County, Wyoming",4802.063271768372,46958,0,20339,85,17506,435,8260,1404,1003,283,3707,639,2037,435,5383,1196,4697,127,12854,0,4832,730,1278,377,62,107,5972,425,1706,373,4071,460,415,195,674,250,619,179,17.9,3.0,4.1,1.1,21.2,3.6,6.7,1.4,11.6,2.6,10.0,0.3,27.4,0.0,10.4,1.6,7.3,2.1,0.1,0.2,12.7,0.9,8.4,1.8,20.0,2.3,2.4,1.1,3.9,1.4,1.3,0.4,0.4545,0.4545,0.7273,0.4091,0.4545,2.4999,0.5455,0.0,0.9545,0.0909,0.9545,0.0455,2.0454,0.1818,0.5,0.5,0.5,0.9091,0.8182,0.7273,0.6818,0.2273,3.3637,0.9091,8.409,0.6364,0,0,0,0,0,0,0,1,0,1,0,2,0,0,1,0,0,0,0,1,3,50165,3008,854,364,199,4017,0,68,72,209,157,29,49,1275,299,10,10,6.5,0.0,0.8,0.4,8.6,0.0,0.1,0.2,0.4,0.3,0.1,0.1,2.7,0.6,0.0,0.1
56,Wyoming,WY,56007,Carbon,56007,"Carbon County, Wyoming",7897.799465945628,15073,0,8809,58,6226,272,3119,402,267,152,1262,208,972,210,1772,354,2534,28,3483,73,1718,230,421,126,342,171,3463,207,251,121,1442,191,132,79,194,83,769,120,21.8,2.8,3.7,2.1,20.3,3.2,9.4,2.0,12.4,2.5,16.8,0.2,23.1,0.5,12.0,1.6,6.8,2.0,2.4,1.2,23.0,1.4,2.8,1.4,16.4,2.2,2.1,1.3,3.1,1.3,5.1,0.8,0.7727,0.3636,0.5909,0.9545,0.7273,3.409,0.8636,0.3182,0.5455,0.2273,0.9091,0.9545,2.9546,0.8182,0.9545,0.9545,0.9545,0.3636,0.7273,0.6364,0.3636,0.8636,2.9545,0.6818,10.2726,0.9545,0,0,0,1,0,1,0,0,0,1,1,2,1,1,0,0,0,0,0,0,4,13673,1983,370,163,50,2780,0,116,37,177,67,5,8,212,87,10,10,13.9,0.1,1.1,0.3,18.4,0.0,0.8,0.2,1.2,0.4,0.0,0.1,1.4,0.6,0.1,0.1
56,Wyoming,WY,56009,Converse,56009,"Converse County, Wyoming",4254.992931742056,13842,0,6691,25,5461,289,2135,520,374,129,904,201,778,228,1261,306,2327,88,3442,118,1918,300,157,75,35,81,1584,69,422,188,1055,242,92,46,105,62,56,40,15.5,3.8,5.4,1.8,16.6,3.6,8.2,2.4,9.2,2.2,16.8,0.6,24.9,0.9,13.9,2.2,2.9,1.4,0.3,0.6,11.4,0.5,6.3,2.8,15.8,3.6,1.7,0.8,1.9,1.1,0.4,0.3,0.3182,0.8636,0.1818,0.7727,0.1364,2.2727,0.4091,0.3182,0.7273,0.4545,0.3182,0.3636,2.1818,0.3182,0.3636,0.3636,0.3636,0.7727,0.6364,0.5,0.0909,0.0455,2.0455,0.2727,6.8636,0.3182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12696,1770,355,0,19,1144,0,19,37,22,26,0,19,399,43,0,0,12.8,0.0,0.0,0.3,8.3,0.0,0.1,0.3,0.2,0.2,0.0,0.3,2.9,0.3,0.0,0.3
56,Wyoming,WY,56011,Crook,56011,"Crook County, Wyoming",2854.478701169166,7502,0,3662,17,2826,146,1058,290,36,33,472,105,357,146,615,205,1502,17,1836,58,786,155,16,19,88,104,448,121,22,24,779,152,20,21,45,35,72,31,14.3,3.9,1.0,0.9,16.7,3.6,6.9,2.8,8.3,2.8,20.0,0.5,24.5,0.8,10.6,2.1,0.6,0.7,1.3,1.5,6.0,1.6,0.6,0.7,21.3,4.2,0.7,0.7,1.6,1.2,1.0,0.4,0.1364,0.0,0.2273,0.5,0.0455,0.9092,0.0,0.5909,0.6818,0.1364,0.0,0.8636,2.2727,0.4091,0.0,0.0,0.0,0.0455,0.9091,0.0455,0.0455,0.1364,1.182,0.0455,4.3639,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,5804,1060,298,0,17,182,0,18,26,81,69,0,17,167,82,0,0,14.3,0.1,0.0,0.5,2.4,0.0,0.2,0.3,1.1,0.9,0.0,0.5,2.2,1.1,0.0,0.5
56,Wyoming,WY,56013,Fremont,56013,"Fremont County, Wyoming",9183.586200357271,39711,0,18029,79,14834,323,9073,823,1393,211,3290,409,2187,294,7533,701,7331,43,9988,24,5849,378,848,167,74,104,12162,7797,563,128,2948,240,522,128,769,150,864,157,23.4,2.1,7.4,1.1,22.2,2.7,8.2,1.1,19.3,1.8,18.5,0.1,25.2,0.1,15.0,1.0,5.7,1.1,0.2,0.3,30.6,19.6,3.1,0.7,16.4,1.3,3.5,0.9,5.2,1.0,2.2,0.4,0.8182,1.0,0.8182,0.7727,1.0,4.4091,1.0,0.5,0.7727,0.6818,0.8182,0.0909,2.8636,0.6364,1.0,1.0,1.0,0.4091,0.7273,0.9091,0.9091,0.5909,3.5455,1.0,11.8182,1.0,0,1,0,0,1,2,0,0,0,0,0,0,1,1,0,0,1,1,0,2,5,37830,6603,634,182,32,2914,0,88,47,7795,170,26,44,1147,173,10,10,17.0,0.1,0.5,0.1,7.3,0.0,0.2,0.1,19.6,0.4,0.1,0.1,2.9,0.4,0.0,0.1
56,Wyoming,WY,56015,Goshen,56015,"Goshen County, Wyoming",2225.6119864169,13301,0,6028,118,5234,215,2288,356,290,126,1080,198,777,202,1379,311,2923,79,2710,51,2134,250,293,105,85,100,2012,169,196,88,776,125,62,44,135,91,850,269,18.4,2.8,4.6,2.0,20.6,3.7,8.3,2.1,10.8,2.4,22.0,0.6,20.4,0.4,16.8,1.9,5.6,2.0,0.7,0.8,15.1,1.3,3.3,1.5,12.9,2.0,1.2,0.8,2.6,1.7,6.4,2.0,0.5909,0.6818,0.6818,0.8636,0.2727,3.0908,0.8182,0.8182,0.2727,0.9091,0.7727,0.6364,3.4091,0.9545,0.6818,0.6818,0.6818,0.4545,0.3636,0.2273,0.2727,0.9545,2.2726,0.3182,9.4543,0.8182,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,2,11111,2177,553,42,32,1438,0,113,6,110,59,15,20,184,53,110,110,17.5,0.4,0.3,0.2,10.8,0.0,0.8,0.1,0.8,0.4,0.1,0.1,1.4,0.4,0.8,0.8
56,Wyoming,WY,56017,Hot Springs,56017,"Hot Springs County, Wyoming",2004.430582345816,4550,0,2641,95,2187,161,1119,256,68,42,405,126,198,65,605,153,1241,100,884,90,780,137,43,31,7,47,365,151,50,15,420,122,28,31,136,62,81,59,25.3,5.8,2.9,1.8,18.5,5.6,5.8,1.9,13.5,3.4,27.3,2.2,19.4,2.0,17.4,3.1,2.0,1.4,0.2,1.1,8.0,3.3,1.9,0.6,15.9,4.6,1.3,1.4,6.2,2.7,1.8,1.3,0.9091,0.2727,0.5,0.2727,0.8636,2.8181,0.6818,1.0,0.1818,1.0,0.0455,0.0909,2.3182,0.5,0.0455,0.0455,0.0455,0.2727,0.6818,0.3182,1.0,0.4091,2.6818,0.6364,7.8636,0.5,1,0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,0,1,0,1,4,4146,672,167,0,12,143,71,0,12,118,74,0,12,56,33,48,48,15.0,0.2,0.0,0.8,3.1,1.6,0.0,0.8,2.6,1.6,0.0,0.8,1.2,0.7,1.1,1.1
56,Wyoming,WY,56019,Johnson,56019,"Johnson County, Wyoming",4154.150220645996,8518,0,4645,23,3961,185,2082,478,118,90,678,190,305,129,1070,339,2180,104,1687,89,1200,232,123,74,4,66,745,133,164,125,576,158,52,66,138,85,116,46,24.8,5.7,2.8,2.1,17.1,4.7,4.9,2.0,12.7,4.0,25.6,1.2,19.8,1.0,14.3,2.8,3.1,1.9,0.0,0.8,8.7,1.6,3.5,2.7,12.4,3.4,1.3,1.7,3.5,2.1,1.4,0.5,0.8636,0.2273,0.3182,0.1818,0.7727,2.3636,0.4545,0.9545,0.2273,0.5909,0.3636,0.0,2.1363,0.2727,0.1818,0.1818,0.1818,0.5,0.3182,0.3182,0.5,0.3636,2.0,0.1818,6.6817,0.2273,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,7742,1143,318,49,19,412,0,129,88,87,89,0,17,68,39,0,0,13.6,0.1,0.6,0.2,4.8,0.0,1.5,1.0,1.0,1.0,0.0,0.4,0.8,0.5,0.0,0.4
